namePlayer,idPlayer,yearSeasonFirst,yearSeasonLast,urlPlayerStats,urlPlayerHeadshot,urlPlayerActionPhoto
Alex Abrines,203518,2016,2018,https://stats.nba.com/player/203518,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203518.png,https://stats.nba.com/media/players/700/203518.png
Precious Achiuwa,1630173,2020,2022,https://stats.nba.com/player/1630173,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630173.png,https://stats.nba.com/media/players/700/1630173.png
Quincy Acy,203112,2012,2018,https://stats.nba.com/player/203112,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203112.png,https://stats.nba.com/media/players/700/203112.png
Jaylen Adams,1629121,2018,2020,https://stats.nba.com/player/1629121,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629121.png,https://stats.nba.com/media/players/700/1629121.png
Jordan Adams,203919,2014,2015,https://stats.nba.com/player/203919,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203919.png,https://stats.nba.com/media/players/700/203919.png
Steven Adams,203500,2013,2022,https://stats.nba.com/player/203500,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203500.png,https://stats.nba.com/media/players/700/203500.png
Bam Adebayo,1628389,2017,2022,https://stats.nba.com/player/1628389,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628389.png,https://stats.nba.com/media/players/700/1628389.png
Deng Adel,1629061,2018,2018,https://stats.nba.com/player/1629061,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629061.png,https://stats.nba.com/media/players/700/1629061.png
Jeff Adrien,202399,2010,2014,https://stats.nba.com/player/202399,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202399.png,https://stats.nba.com/media/players/700/202399.png
Arron Afflalo,201167,2007,2017,https://stats.nba.com/player/201167,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201167.png,https://stats.nba.com/media/players/700/201167.png
Ochai Agbaji,1630534,2022,2022,https://stats.nba.com/player/1630534,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630534.png,https://stats.nba.com/media/img/league/nba-headshot-fallback.png
Alexis Ajinca,201582,2008,2017,https://stats.nba.com/player/201582,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201582.png,https://stats.nba.com/media/players/700/201582.png
DeVaughn Akoon-Purcell,1629152,2018,2018,https://stats.nba.com/player/1629152,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629152.png,https://stats.nba.com/media/players/700/1629152.png
Santi Aldama,1630583,2021,2022,https://stats.nba.com/player/1630583,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630583.png,https://stats.nba.com/media/players/700/1630583.png
Furkan Aldemir,203128,2014,2014,https://stats.nba.com/player/203128,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203128.png,https://stats.nba.com/media/players/700/203128.png
Cole Aldrich,202332,2010,2017,https://stats.nba.com/player/202332,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202332.png,https://stats.nba.com/media/players/700/202332.png
LaMarcus Aldridge,200746,2006,2021,https://stats.nba.com/player/200746,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/200746.png,https://stats.nba.com/media/players/700/200746.png
Cliff Alexander,1626146,2015,2015,https://stats.nba.com/player/1626146,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626146.png,https://stats.nba.com/media/players/700/1626146.png
Kyle Alexander,1629734,2019,2019,https://stats.nba.com/player/1629734,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629734.png,https://stats.nba.com/media/players/700/1629734.png
Ty-Shon Alexander,1630234,2020,2020,https://stats.nba.com/player/1630234,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630234.png,https://stats.nba.com/media/players/700/1630234.png
Nickeil Alexander-Walker,1629638,2019,2022,https://stats.nba.com/player/1629638,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629638.png,https://stats.nba.com/media/players/700/1629638.png
Rawle Alkins,1628959,2018,2018,https://stats.nba.com/player/1628959,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628959.png,https://stats.nba.com/media/players/700/1628959.png
Grayson Allen,1628960,2018,2022,https://stats.nba.com/player/1628960,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628960.png,https://stats.nba.com/media/players/700/1628960.png
Jarrett Allen,1628386,2017,2022,https://stats.nba.com/player/1628386,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628386.png,https://stats.nba.com/media/players/700/1628386.png
Kadeem Allen,1628443,2017,2019,https://stats.nba.com/player/1628443,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628443.png,https://stats.nba.com/media/players/700/1628443.png
Lavoy Allen,202730,2011,2016,https://stats.nba.com/player/202730,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202730.png,https://stats.nba.com/media/players/700/202730.png
Tony Allen,2754,2004,2017,https://stats.nba.com/player/2754,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/2754.png,https://stats.nba.com/media/players/700/2754.png
Jose Alvarado,1630631,2021,2022,https://stats.nba.com/player/1630631,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630631.png,https://stats.nba.com/media/players/700/1630631.png
Al-Farouq Aminu,202329,2010,2020,https://stats.nba.com/player/202329,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202329.png,https://stats.nba.com/media/players/700/202329.png
Lou Amundson,200811,2006,2015,https://stats.nba.com/player/200811,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/200811.png,https://stats.nba.com/media/players/700/200811.png
Chris Andersen,2365,2001,2016,https://stats.nba.com/player/2365,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/2365.png,https://stats.nba.com/media/players/700/2365.png
Alan Anderson,101187,2005,2016,https://stats.nba.com/player/101187,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/101187.png,https://stats.nba.com/media/players/700/101187.png
James Anderson,202341,2010,2015,https://stats.nba.com/player/202341,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202341.png,https://stats.nba.com/media/players/700/202341.png
Justin Anderson,1626147,2015,2021,https://stats.nba.com/player/1626147,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626147.png,https://stats.nba.com/media/players/700/1626147.png
Kyle Anderson,203937,2014,2022,https://stats.nba.com/player/203937,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203937.png,https://stats.nba.com/media/players/700/203937.png
Ryan Anderson,201583,2008,2019,https://stats.nba.com/player/201583,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201583.png,https://stats.nba.com/media/players/700/201583.png
Ike Anigbogu,1628387,2017,2018,https://stats.nba.com/player/1628387,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628387.png,https://stats.nba.com/media/players/700/1628387.png
Giannis Antetokounmpo,203507,2013,2022,https://stats.nba.com/player/203507,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203507.png,https://stats.nba.com/media/players/700/203507.png
Kostas Antetokounmpo,1628961,2018,2022,https://stats.nba.com/player/1628961,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628961.png,https://stats.nba.com/media/players/700/1628961.png
Thanasis Antetokounmpo,203648,2015,2022,https://stats.nba.com/player/203648,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203648.png,https://stats.nba.com/media/players/700/203648.png
Carmelo Anthony,2546,2003,2021,https://stats.nba.com/player/2546,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/2546.png,https://stats.nba.com/media/players/700/2546.png
Cole Anthony,1630175,2020,2022,https://stats.nba.com/player/1630175,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630175.png,https://stats.nba.com/media/players/700/1630175.png
Joel Anthony,201202,2007,2016,https://stats.nba.com/player/201202,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201202.png,https://stats.nba.com/media/players/700/201202.png
Pero Antic,203544,2013,2014,https://stats.nba.com/player/203544,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203544.png,https://stats.nba.com/media/players/700/203544.png
O.G. Anunoby,1628384,2017,2022,https://stats.nba.com/player/1628384,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628384.png,https://stats.nba.com/media/players/700/1628384.png
Keith Appling,203951,2015,2015,https://stats.nba.com/player/203951,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203951.png,https://stats.nba.com/media/players/700/203951.png
Ryan Arcidiacono,1627853,2017,2022,https://stats.nba.com/player/1627853,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627853.png,https://stats.nba.com/media/players/700/1627853.png
Trevor Ariza,2772,2004,2021,https://stats.nba.com/player/2772,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/2772.png,https://stats.nba.com/media/players/700/2772.png
Darrell Arthur,201589,2008,2017,https://stats.nba.com/player/201589,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201589.png,https://stats.nba.com/media/players/700/201589.png
Jamel Artis,1628503,2017,2017,https://stats.nba.com/player/1628503,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628503.png,https://stats.nba.com/media/players/700/1628503.png
Omer Asik,201600,2010,2017,https://stats.nba.com/player/201600,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201600.png,https://stats.nba.com/media/players/700/201600.png
D.J. Augustin,201571,2008,2021,https://stats.nba.com/player/201571,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201571.png,https://stats.nba.com/media/players/700/201571.png
Deni Avdija,1630166,2020,2022,https://stats.nba.com/player/1630166,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630166.png,https://stats.nba.com/media/players/700/1630166.png
Joel Ayayi,1630555,2021,2021,https://stats.nba.com/player/1630555,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630555.png,https://stats.nba.com/media/players/700/1630555.png
Jeff Ayres,201965,2009,2015,https://stats.nba.com/player/201965,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201965.png,https://stats.nba.com/media/players/700/201965.png
Deandre Ayton,1629028,2018,2022,https://stats.nba.com/player/1629028,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629028.png,https://stats.nba.com/media/players/700/1629028.png
Udoka Azubuike,1628962,2020,2022,https://stats.nba.com/player/1628962,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628962.png,https://stats.nba.com/media/players/700/1628962.png
Chris Babb,203569,2013,2014,https://stats.nba.com/player/203569,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203569.png,https://stats.nba.com/media/players/700/203569.png
Luke Babbitt,202337,2010,2017,https://stats.nba.com/player/202337,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202337.png,https://stats.nba.com/media/players/700/202337.png
Dwayne Bacon,1628407,2017,2020,https://stats.nba.com/player/1628407,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628407.png,https://stats.nba.com/media/players/700/1628407.png
Marvin Bagley III,1628963,2018,2022,https://stats.nba.com/player/1628963,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628963.png,https://stats.nba.com/media/players/700/1628963.png
Cameron Bairstow,203946,2014,2015,https://stats.nba.com/player/203946,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203946.png,https://stats.nba.com/media/players/700/203946.png
Ron Baker,1627758,2016,2018,https://stats.nba.com/player/1627758,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627758.png,https://stats.nba.com/media/players/700/1627758.png
Wade Baldwin IV,1627735,2016,2018,https://stats.nba.com/player/1627735,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627735.png,https://stats.nba.com/media/players/700/1627735.png
