slugSeason,idGame,dateGame,slugMatchup,slugTeam,slugOpponent,hScore,aScore
2014-15,21400001,2014-10-28,NOP vs. ORL,NOP,ORL,101,84
2014-15,21400003,2014-10-28,LAL vs. HOU,LAL,HOU,90,108
2014-15,21400002,2014-10-28,SAS vs. DAL,SAS,DAL,101,100
2014-15,21400009,2014-10-29,MEM vs. MIN,MEM,MIN,105,101
2014-15,21400008,2014-10-29,TOR vs. ATL,TOR,ATL,109,102
2014-15,21400004,2014-10-29,CHA vs. MIL,CHA,MIL,108,106
2014-15,21400011,2014-10-29,DEN vs. DET,DEN,DET,89,79
2014-15,21400014,2014-10-29,SAC vs. GSW,SAC,GSW,77,95
2014-15,21400005,2014-10-29,IND vs. PHI,IND,PHI,103,91
2014-15,21400012,2014-10-29,UTA vs. HOU,UTA,HOU,93,104
2014-15,21400015,2014-10-29,POR vs. OKC,POR,OKC,106,89
2014-15,21400007,2014-10-29,MIA vs. WAS,MIA,WAS,107,95
2014-15,21400006,2014-10-29,BOS vs. BKN,BOS,BKN,121,105
2014-15,21400013,2014-10-29,PHX vs. LAL,PHX,LAL,119,99
2014-15,21400010,2014-10-29,NYK vs. CHI,NYK,CHI,80,104
2014-15,21400017,2014-10-30,MIN vs. DET,MIN,DET,97,91
2014-15,21400019,2014-10-30,DAL vs. UTA,DAL,UTA,120,102
2014-15,21400018,2014-10-30,CLE vs. NYK,CLE,NYK,90,95
2014-15,21400016,2014-10-30,ORL vs. WAS,ORL,WAS,98,105
2014-15,21400020,2014-10-30,LAC vs. OKC,LAC,OKC,93,90
2014-15,21400025,2014-10-31,SAC vs. POR,SAC,POR,103,94
2014-15,21400021,2014-10-31,IND vs. MEM,IND,MEM,89,97
2014-15,21400023,2014-10-31,MIL vs. PHI,MIL,PHI,93,81
2014-15,21400024,2014-10-31,PHX vs. SAS,PHX,SAS,94,89
2014-15,21400022,2014-10-31,CHI vs. CLE,CHI,CLE,108,114
2014-15,21400026,2014-10-31,LAL vs. LAC,LAL,LAC,111,118
2014-15,21400027,2014-11-01,NOP vs. DAL,NOP,DAL,104,109
2014-15,21400036,2014-11-01,OKC vs. DEN,OKC,DEN,102,91
2014-15,21400028,2014-11-01,CHA vs. MEM,CHA,MEM,69,71
2014-15,21400031,2014-11-01,WAS vs. MIL,WAS,MIL,108,97
2014-15,21400035,2014-11-01,MIN vs. CHI,MIN,CHI,105,106
2014-15,21400032,2014-11-01,ATL vs. IND,ATL,IND,102,92
2014-15,21400037,2014-11-01,UTA vs. PHX,UTA,PHX,118,91
2014-15,21400033,2014-11-01,DET vs. BKN,DET,BKN,90,102
2014-15,21400034,2014-11-01,HOU vs. BOS,HOU,BOS,104,90
2014-15,21400029,2014-11-01,ORL vs. TOR,ORL,TOR,95,108
2014-15,21400038,2014-11-01,GSW vs. LAL,GSW,LAL,127,104
2014-15,21400030,2014-11-01,PHI vs. MIA,PHI,MIA,96,114
2014-15,21400042,2014-11-02,POR vs. GSW,POR,GSW,90,95
2014-15,21400040,2014-11-02,MIA vs. TOR,MIA,TOR,107,102
2014-15,21400039,2014-11-02,LAC vs. SAC,LAC,SAC,92,98
2014-15,21400041,2014-11-02,NYK vs. CHA,NYK,CHA,96,93
2014-15,21400045,2014-11-03,MEM vs. NOP,MEM,NOP,93,81
2014-15,21400047,2014-11-03,DEN vs. SAC,DEN,SAC,105,110
2014-15,21400046,2014-11-03,DAL vs. BOS,DAL,BOS,118,113
2014-15,21400048,2014-11-03,LAC vs. UTA,LAC,UTA,107,101
2014-15,21400044,2014-11-03,BKN vs. OKC,BKN,OKC,116,85
2014-15,21400043,2014-11-03,PHI vs. HOU,PHI,HOU,93,104
2014-15,21400054,2014-11-04,NOP vs. CHA,NOP,CHA,100,91
2014-15,21400052,2014-11-04,TOR vs. OKC,TOR,OKC,100,88
2014-15,21400049,2014-11-04,IND vs. MIL,IND,MIL,81,87
2014-15,21400055,2014-11-04,POR vs. CLE,POR,CLE,101,82
2014-15,21400050,2014-11-04,MIA vs. HOU,MIA,HOU,91,108
2014-15,21400051,2014-11-04,NYK vs. WAS,NYK,WAS,83,98
2014-15,21400053,2014-11-04,CHI vs. ORL,CHI,ORL,98,90
2014-15,21400056,2014-11-04,LAL vs. PHX,LAL,PHX,106,112
2014-15,21400058,2014-11-05,PHI vs. ORL,PHI,ORL,89,91
2014-15,21400063,2014-11-05,WAS vs. IND,WAS,IND,96,94
2014-15,21400057,2014-11-05,CHA vs. MIA,CHA,MIA,96,89
2014-15,21400067,2014-11-05,SAC vs. DEN,SAC,DEN,131,109
2014-15,21400062,2014-11-05,MIL vs. CHI,MIL,CHI,86,95
2014-15,21400066,2014-11-05,UTA vs. CLE,UTA,CLE,102,100
2014-15,21400061,2014-11-05,DET vs. NYK,DET,NYK,98,95
2014-15,21400059,2014-11-05,BOS vs. TOR,BOS,TOR,107,110
2014-15,21400060,2014-11-05,BKN vs. MIN,BKN,MIN,91,98
2014-15,21400065,2014-11-05,PHX vs. MEM,PHX,MEM,91,102
2014-15,21400064,2014-11-05,SAS vs. ATL,SAS,ATL,94,92
2014-15,21400068,2014-11-05,GSW vs. LAC,GSW,LAC,121,104
2014-15,21400070,2014-11-06,POR vs. DAL,POR,DAL,108,87
2014-15,21400069,2014-11-06,HOU vs. SAS,HOU,SAS,98,81
2014-15,21400078,2014-11-07,OKC vs. MEM,OKC,MEM,89,91
2014-15,21400077,2014-11-07,TOR vs. WAS,TOR,WAS,103,84
2014-15,21400071,2014-11-07,CHA vs. ATL,CHA,ATL,122,119
2014-15,21400081,2014-11-07,DEN vs. CLE,DEN,CLE,101,110
2014-15,21400080,2014-11-07,UTA vs. DAL,UTA,DAL,82,105
2014-15,21400076,2014-11-07,DET vs. MIL,DET,MIL,98,95
2014-15,21400072,2014-11-07,ORL vs. MIN,ORL,MIN,112,103
2014-15,21400074,2014-11-07,BOS vs. IND,BOS,IND,101,98
2014-15,21400075,2014-11-07,BKN vs. NYK,BKN,NYK,110,99
2014-15,21400079,2014-11-07,PHX vs. SAC,PHX,SAC,112,114
2014-15,21400073,2014-11-07,PHI vs. CHI,PHI,CHI,115,118
2014-15,21400083,2014-11-08,IND vs. WAS,IND,WAS,90,97
2014-15,21400084,2014-11-08,ATL vs. NYK,ATL,NYK,103,96
2014-15,21400088,2014-11-08,MIL vs. MEM,MIL,MEM,93,92
2014-15,21400085,2014-11-08,MIA vs. MIN,MIA,MIN,102,92
2014-15,21400087,2014-11-08,HOU vs. GSW,HOU,GSW,87,98
2014-15,21400082,2014-11-08,LAC vs. POR,LAC,POR,106,102
2014-15,21400086,2014-11-08,CHI vs. BOS,CHI,BOS,101,106
2014-15,21400089,2014-11-08,SAS vs. NOP,SAS,NOP,99,100
2014-15,21400092,2014-11-09,OKC vs. SAC,OKC,SAC,101,93
2014-15,21400093,2014-11-09,TOR vs. PHI,TOR,PHI,120,88
2014-15,21400094,2014-11-09,DAL vs. MIA,DAL,MIA,96,105
2014-15,21400096,2014-11-09,POR vs. DEN,POR,DEN,116,100
2014-15,21400091,2014-11-09,DET vs. UTA,DET,UTA,96,97
2014-15,21400090,2014-11-09,BKN vs. ORL,BKN,ORL,104,96
2014-15,21400095,2014-11-09,PHX vs. GSW,PHX,GSW,107,95
2014-15,21400097,2014-11-09,LAL vs. CHA,LAL,CHA,107,92
2014-15,21400099,2014-11-10,IND vs. UTA,IND,UTA,97,86
2014-15,21400098,2014-11-10,CLE vs. NOP,CLE,NOP,118,111
