slugSeason,idGame,dateGame,slugMatchup,idTeam,opponentID,h_score,a_score
2014-15,21400001,10/28/14,NOP vs. ORL,1610612740,1610612753,101,84
2014-15,21400003,10/28/14,LAL vs. HOU,1610612747,1610612745,90,108
2014-15,21400002,10/28/14,SAS vs. DAL,1610612759,1610612742,101,100
2014-15,21400009,10/29/14,MEM vs. MIN,1610612763,1610612750,105,101
2014-15,21400008,10/29/14,TOR vs. ATL,1610612761,1610612737,109,102
2014-15,21400004,10/29/14,CHA vs. MIL,1610612766,1610612749,108,106
2014-15,21400011,10/29/14,DEN vs. DET,1610612743,1610612765,89,79
2014-15,21400014,10/29/14,SAC vs. GSW,1610612758,1610612744,77,95
2014-15,21400005,10/29/14,IND vs. PHI,1610612754,1610612755,103,91
2014-15,21400012,10/29/14,UTA vs. HOU,1610612762,1610612745,93,104
2014-15,21400015,10/29/14,POR vs. OKC,1610612757,1610612760,106,89
2014-15,21400007,10/29/14,MIA vs. WAS,1610612748,1610612764,107,95
2014-15,21400006,10/29/14,BOS vs. BKN,1610612738,1610612751,121,105
2014-15,21400013,10/29/14,PHX vs. LAL,1610612756,1610612747,119,99
2014-15,21400010,10/29/14,NYK vs. CHI,1610612752,1610612741,80,104
2014-15,21400017,10/30/14,MIN vs. DET,1610612750,1610612765,97,91
2014-15,21400019,10/30/14,DAL vs. UTA,1610612742,1610612762,120,102
2014-15,21400018,10/30/14,CLE vs. NYK,1610612739,1610612752,90,95
2014-15,21400016,10/30/14,ORL vs. WAS,1610612753,1610612764,98,105
2014-15,21400020,10/30/14,LAC vs. OKC,1610612746,1610612760,93,90
2014-15,21400025,10/31/14,SAC vs. POR,1610612758,1610612757,103,94
2014-15,21400021,10/31/14,IND vs. MEM,1610612754,1610612763,89,97
2014-15,21400023,10/31/14,MIL vs. PHI,1610612749,1610612755,93,81
2014-15,21400024,10/31/14,PHX vs. SAS,1610612756,1610612759,94,89
2014-15,21400022,10/31/14,CHI vs. CLE,1610612741,1610612739,108,114
2014-15,21400026,10/31/14,LAL vs. LAC,1610612747,1610612746,111,118
2014-15,21400027,11/1/14,NOP vs. DAL,1610612740,1610612742,104,109
2014-15,21400036,11/1/14,OKC vs. DEN,1610612760,1610612743,102,91
2014-15,21400028,11/1/14,CHA vs. MEM,1610612766,1610612763,69,71
2014-15,21400031,11/1/14,WAS vs. MIL,1610612764,1610612749,108,97
2014-15,21400035,11/1/14,MIN vs. CHI,1610612750,1610612741,105,106
2014-15,21400032,11/1/14,ATL vs. IND,1610612737,1610612754,102,92
2014-15,21400037,11/1/14,UTA vs. PHX,1610612762,1610612756,118,91
2014-15,21400033,11/1/14,DET vs. BKN,1610612765,1610612751,90,102
2014-15,21400034,11/1/14,HOU vs. BOS,1610612745,1610612738,104,90
2014-15,21400029,11/1/14,ORL vs. TOR,1610612753,1610612761,95,108
2014-15,21400038,11/1/14,GSW vs. LAL,1610612744,1610612747,127,104
2014-15,21400030,11/1/14,PHI vs. MIA,1610612755,1610612748,96,114
2014-15,21400042,11/2/14,POR vs. GSW,1610612757,1610612744,90,95
2014-15,21400040,11/2/14,MIA vs. TOR,1610612748,1610612761,107,102
2014-15,21400039,11/2/14,LAC vs. SAC,1610612746,1610612758,92,98
2014-15,21400041,11/2/14,NYK vs. CHA,1610612752,1610612766,96,93
2014-15,21400045,11/3/14,MEM vs. NOP,1610612763,1610612740,93,81
2014-15,21400047,11/3/14,DEN vs. SAC,1610612743,1610612758,105,110
2014-15,21400046,11/3/14,DAL vs. BOS,1610612742,1610612738,118,113
2014-15,21400048,11/3/14,LAC vs. UTA,1610612746,1610612762,107,101
2014-15,21400044,11/3/14,BKN vs. OKC,1610612751,1610612760,116,85
2014-15,21400043,11/3/14,PHI vs. HOU,1610612755,1610612745,93,104
2014-15,21400054,11/4/14,NOP vs. CHA,1610612740,1610612766,100,91
2014-15,21400052,11/4/14,TOR vs. OKC,1610612761,1610612760,100,88
2014-15,21400049,11/4/14,IND vs. MIL,1610612754,1610612749,81,87
2014-15,21400055,11/4/14,POR vs. CLE,1610612757,1610612739,101,82
2014-15,21400050,11/4/14,MIA vs. HOU,1610612748,1610612745,91,108
2014-15,21400051,11/4/14,NYK vs. WAS,1610612752,1610612764,83,98
2014-15,21400053,11/4/14,CHI vs. ORL,1610612741,1610612753,98,90
2014-15,21400056,11/4/14,LAL vs. PHX,1610612747,1610612756,106,112
2014-15,21400058,11/5/14,PHI vs. ORL,1610612755,1610612753,89,91
2014-15,21400063,11/5/14,WAS vs. IND,1610612764,1610612754,96,94
2014-15,21400057,11/5/14,CHA vs. MIA,1610612766,1610612748,96,89
2014-15,21400067,11/5/14,SAC vs. DEN,1610612758,1610612743,131,109
2014-15,21400062,11/5/14,MIL vs. CHI,1610612749,1610612741,86,95
2014-15,21400066,11/5/14,UTA vs. CLE,1610612762,1610612739,102,100
2014-15,21400061,11/5/14,DET vs. NYK,1610612765,1610612752,98,95
2014-15,21400059,11/5/14,BOS vs. TOR,1610612738,1610612761,107,110
2014-15,21400060,11/5/14,BKN vs. MIN,1610612751,1610612750,91,98
2014-15,21400065,11/5/14,PHX vs. MEM,1610612756,1610612763,91,102
